order_id,customer_id,customer_name,email,order_date,total_price,currency,status,financial_status,fulfillment_status,payment_method,discount_code,discount_amount,shipping_address,shipping_country,tracking_number,tracking_company,refunds,line_items
INT-777875,CUST-3655,Tammy Parsons,nicholas99@jimenez.info,2024-12-23,819.09,GBP,pending,refunded,partial,bank_transfer,SUMMER20,48.97,"82340 Nicholas Fort Suite 359, South Michaelview, AR 83235",FR,,,"{""refund_id"": ""RF-63504"", ""refund_amount"": 630.0, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2024-12-31"", ""refund_method"": ""store_credit""}",2 products
INT-302639,CUST-8715,Katherine Rodriguez,anthony00@washington-jordan.net,2025-02-21,281.12,GBP,pending,voided,partial,gift_card,,0.0,"148 Pham Squares, Faithberg, NE 54423",GB,,,null,3 products
INT-935306,CUST-8466,Jasmine Oliver,osoto@hotmail.com,2025-02-06,482.47,USD,canceled,paid,partial,paypal,,0.0,"Unit 3453 Box 4339, DPO AE 44870",US,,,null,3 products
INT-472511,CUST-7553,Michael Silva,udaniel@hotmail.com,2025-02-17,239.14,EUR,refunded,voided,unfulfilled,bank_transfer,,0.0,"2400 Price Fall, Gilbertville, MN 09278",GB,,,null,5 products
INT-525180,CUST-1534,Carmen Gutierrez,amanda44@hotmail.com,2025-01-05,432.34,GBP,refunded,voided,unfulfilled,bank_transfer,,,"72174 Patterson Inlet Suite 052, South Amy, KY 87423",DE,,,null,4 products
INT-784436,CUST-2737,Terry Snow,julian36@hotmail.com,2025-02-10,906.64,EUR,shipped,paid,partial,bank_transfer,,0.0,"3088 Zimmerman Club, East Jose, CO 58158",CA,,,null,5 products
INT-785469,CUST-4293,Jamie Woods,fhouse@hotmail.com,2024-12-29,287.56,EUR,paid,partially_refunded,fulfilled,bank_transfer,VIPCUSTOMER,3.42,"5867 George Villages, East Ronaldfurt, RI 38570",US,TRK-885204,,"{""refund_id"": ""RF-17182"", ""refund_amount"": 213.41, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-02-17"", ""refund_method"": ""store_credit""}",3 products
INT-683423,CUST-1631,Mr. Scott Hill,smiththomas@hotmail.com,2024-12-16,91.86,GBP,canceled,refunded,fulfilled,paypal,SUMMER20,15.25,"4514 Megan Field Suite 191, West Michaelshire, NY 27843",GB,TRK-159806,DHL,"{""refund_id"": ""RF-61571"", ""refund_amount"": 59.52, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-02-18"", ""refund_method"": ""original_payment""}",1 products
INT-181184,CUST-5996,Michael Harrison,gallaghermatthew@benitez.com,2025-01-23,920.45,GBP,canceled,voided,fulfilled,gift_card,,0.0,"87502 Scott Streets Suite 353, Valenciabury, NH 73457",US,TRK-294571,UPS,null,4 products
INT-919502,CUST-7444,Juan Sanchez,michaelwilliams@yahoo.com,2024-12-21,367.48,USD,shipped,voided,partial,credit_card,SUMMER20,5.86,"89027 Donald Mountains, Hawkinsshire, GA 77066",US,,,null,4 products
INT-146138,CUST-7335,Henry Pugh,ellisoncolton@gmail.com,2025-01-11,855.06,GBP,paid,partially_refunded,unfulfilled,credit_card,WELCOME10,33.75,"777 Armstrong Lane Apt. 336, Lake Christophermouth, WV 08614",CA,,,"{""refund_id"": ""RF-46950"", ""refund_amount"": 535.09, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-02-07"", ""refund_method"": ""manual_adjustment""}",4 products
INT-262080,CUST-9613,Jennifer Dixon,operez@thompson.org,2025-01-02,192.92,EUR,pending,voided,partial,gift_card,,0.0,"Unit 3524 Box 8895, DPO AP 25701",CA,,,null,5 products
INT-499824,CUST-9351,David Thompson,mayerwilliam@yahoo.com,2025-02-09,174.13,USD,pending,paid,partial,bank_transfer,SUMMER20,4.11,"02457 Perry Square Suite 888, Lake Stephaniehaven, CA 42219",CA,,,null,5 products
INT-237659,CUST-1436,Barbara Moore,changcynthia@gmail.com,2025-01-01,122.06,USD,canceled,voided,partial,bank_transfer,,0.0,"198 Miller Field, Melissaland, AK 38427",FR,,,null,4 products
INT-201606,CUST-4509,Christopher Campbell,cbradford@hotmail.com,2025-01-29,993.16,USD,paid,voided,unfulfilled,bank_transfer,WELCOME10,21.19,"Unit 8066 Box 5560, DPO AA 07170",US,,,null,3 products
INT-743517,CUST-3629,Christopher Trevino,bowersallison@gmail.com,2025-01-06,364.82,EUR,pending,paid,unfulfilled,paypal,,0.0,"87821 Harris Brook, Donaldstad, MA 11108",CA,,,null,1 products
